current_section	can_check_section	gas_present	structure_stable	structure_safe_flag	gas_detected_flag	structure_ok_flag	send_data	send_gas_data	send_structure_data	section_safe
current_section	can_check_section	gas_present	structure_stable	structure_safe_flag	gas_detected_flag	structure_ok_flag	send_data	send_gas_data	send_structure_data	section_safe
0	false	false	true	true	false	true	false	false	false	false
0	false	false	true	true	false	true	false	false	false	false
0	false	false	true	true	false	true	false	false	false	false
0	false	true	true	true	false	true	false	false	false	false
0	false	true	true	true	false	true	false	false	false	false
0	false	true	true	true	false	true	false	false	false	false
0	false	true	true	true	false	true	false	false	false	false
0	false	true	true	true	false	true	false	false	false	false
0	false	true	true	false	false	true	false	false	false	false
0	false	true	true	false	false	true	false	false	false	false
0	false	true	true	false	false	true	true	false	false	false
0	false	true	true	false	false	true	true	false	false	false
0	false	true	true	false	false	true	true	false	false	false
0	false	true	true	false	false	true	true	false	false	false
0	false	true	true	false	true	true	true	true	false	false
0	false	true	true	false	true	true	true	true	false	false
0	false	true	true	false	true	true	true	true	true	false
1	false	true	true	false	false	true	false	false	false	false
1	false	true	true	false	false	true	false	false	false	false
1	false	true	true	false	false	true	false	false	false	false
1	false	true	true	false	false	true	false	false	false	false
1	false	true	true	false	false	true	false	false	false	false
1	false	true	true	false	false	true	false	false	false	false
1	false	true	true	false	false	true	false	false	false	false
1	false	true	true	false	false	true	false	false	false	false
1	false	true	true	false	false	true	false	false	false	false
1	false	true	true	false	false	true	false	false	false	false
1	false	true	true	false	false	true	false	false	false	false
1	false	true	true	false	false	true	false	false	false	false
1	false	true	true	false	false	true	true	false	false	false
1	false	true	true	false	false	true	true	false	false	false
1	false	true	true	false	false	true	true	false	false	false
1	false	true	true	false	false	true	true	false	false	false
1	false	true	true	false	false	true	true	false	false	false
1	false	true	true	false	false	true	true	false	true	false
1	false	true	true	false	true	true	true	true	true	false
2	false	true	true	false	false	true	false	false	false	false
2	false	true	true	false	false	true	false	false	false	false
2	false	true	true	false	false	true	false	false	false	false
2	false	true	true	false	false	true	false	false	false	false
2	false	true	true	false	false	true	false	false	false	false
2	false	true	true	false	false	true	false	false	false	false
2	false	true	true	false	false	true	false	false	false	false
2	false	true	true	false	false	true	false	false	false	false
2	false	true	true	false	false	true	false	false	false	false
2	false	true	true	false	false	true	false	false	false	false
2	false	true	true	false	false	true	false	false	false	false
2	false	true	true	false	false	true	false	false	false	false
2	false	true	true	false	false	true	true	false	false	false
2	false	true	true	false	false	true	true	false	false	false
2	false	true	true	false	false	true	true	false	false	false
2	false	true	true	false	false	true	true	false	false	false
2	false	true	true	false	false	true	true	false	false	false
2	false	true	true	false	true	true	true	true	false	false
3	false	true	true	false	false	true	false	false	false	false
3	false	true	true	false	false	true	false	false	false	false
3	false	true	true	false	false	true	false	false	false	false
3	false	true	true	false	false	true	false	false	false	false
3	false	true	true	false	false	true	false	false	false	false
3	false	true	true	false	false	true	false	false	false	false
3	false	true	true	false	false	true	false	false	false	false
3	false	true	true	false	false	true	false	false	false	false
3	false	true	true	false	false	true	false	false	false	false
3	false	true	true	false	false	true	true	false	false	false
3	false	true	true	false	false	true	true	false	false	false
3	false	true	true	false	false	true	true	false	false	false
3	false	true	true	false	false	true	true	false	false	false
3	false	true	true	false	false	true	true	false	false	false
3	false	true	true	false	false	true	true	false	true	false
4	false	true	true	false	false	true	false	false	false	false
4	false	true	true	false	false	true	false	false	false	false
4	false	true	true	false	false	true	false	false	false	false
4	false	true	true	false	false	true	false	false	false	false
4	false	true	true	false	false	true	false	false	false	false
4	false	true	true	false	false	true	false	false	false	false
4	false	true	true	false	false	true	false	false	false	false
4	false	true	true	false	false	true	false	false	false	false
4	false	true	true	false	false	true	false	false	false	false
4	false	true	true	false	false	true	false	false	false	false
4	false	true	true	false	false	true	false	false	false	false
4	false	true	true	false	false	true	true	false	false	false
4	false	true	true	false	false	true	true	false	false	false
4	false	true	true	false	false	true	true	false	false	false
4	false	true	true	false	false	true	true	false	false	false
